state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Arizona,AZ,Pinal,2021,FALSE,25,1328475.373,6.708,147.53,2647465.69,22354181.694,0.50179,0.000003,0.000056,0,100,0,0,0,0,0.0455,9004.7812,-10.88,-10.86,-5.96
Arizona,AZ,Pinal,2022,FALSE,27,1158340.787,5.849,132.735,2251740.42,19491358.62,0.51442,0.000003,0.000059,0,100,0,0,0,0,0.0441,8726.717,-12.81,-12.81,-10.03
Arizona,AZ,Pinal,2023,FALSE,27,2044673.619,10.32,226.624,4163007.4,34405493.477,0.49115,0.000002,0.000054,0,100,0,0,0,0,0.0455,9022.3172,76.52,76.44,70.73
Arizona,AZ,Pinal,2024,FALSE,29,1695699.103,8.562,194.562,3527323.32,28533452.947,0.48073,0.000002,0.000055,0,100,0,0,0,0,0.044,8715.4691,-17.07,-17.03,-14.15
Arizona,AZ,Pinal,2025,FALSE,31,1269798.22,6.412,140.034,2636983.9,21366869.188,0.48153,0.000002,0.000053,0,100,0,0,0,0,0.0458,9067.7851,-25.12,-25.11,-28.03
Arizona,AZ,Pinal,2026,TRUE,37,581778.633,2.934,60.242,1240113.93,9789596.001,0.46913,0.000002,0.000049,0,100,0,0,0,0,0.0487,9657.3592,-54.18,-54.24,-56.98
Arizona,AZ,Yuma,2020,FALSE,4,352496.841,1.779,212.112,530686.4,5931525.792,0.66423,0.000003,0.0004,0,100,0,0,0,0,0.0084,1661.843,,,
Arizona,AZ,Yuma,2021,FALSE,4,241469.451,1.219,120.254,384097.29,4063219.315,0.62867,0.000003,0.000313,0,100,0,0,0,0,0.0101,2007.9952,-31.5,-31.48,-43.31
Arizona,AZ,Yuma,2022,FALSE,4,204175.314,1.031,93.915,323196.81,3435553.806,0.63174,0.000003,0.000291,0,100,0,0,0,0,0.011,2174.0437,-15.44,-15.42,-21.9
Arizona,AZ,Yuma,2023,FALSE,4,182996.044,0.923,62.04,324994.43,3079172.159,0.56307,0.000003,0.000191,0,100,0,0,0,0,0.0149,2949.6461,-10.37,-10.48,-33.94
